symbol,sector,total_assets,total_liabilities,total_equity,net_revenue,nonhalal_revenue_percent,net_income,operating_cash_flow,interest_expense,debt_to_equity,debt_to_assets,roe,roa,profit_margin,interest_coverage,cash_flow_to_debt,f_riba,f_nonhalal,riba_intensity,sector_encoded
BBLD,Other,4529632500000.0,3238844000000.0,1290788500000.0,592490500000.0,0.0,60307250000.0,0.0,162000000.0,2.5091980599455295,0.7150346082160087,0.04672124829125763,0.013313938823955365,0.1017860201977922,372.26697530861895,0.0,0.7150346082160087,0.0,0.00027342210550211355,13
BBRM,Other,34956278.0,21286109.33333333,13670168.666666666,9410337.333333334,0.0,-3269003.0,0.0,826134.6666666666,1.5571211923099235,0.6089352342754352,-0.23913406481726476,-0.09351690703452653,-0.34738425246638616,-3.956985624571818,0.0,0.6089352342754352,0.0,0.08779012243689195,13
BCAP,Other,22731388250000.0,16655025250000.0,6076363000000.0,2609051000000.0,0.0,99140250000.0,889937333333.3334,604835000000.0,2.740952976311652,0.7326884335803819,0.016315722085727926,0.00436138122800309,0.03799858645921448,0.16391288533236337,0.05343356254193211,0.7326884335803819,0.0,0.2318218386685427,13
BCIP,Other,897751148953.0,438242457619.0,459508691334.0,80402682685.75,0.0,10425596004.0,0.0,71947136.25,0.9537196268186746,0.48815583041035276,0.02268857194786337,0.01161301326782909,0.1296672655158527,144.90633744992945,0.0,0.48815583041035276,0.0,0.0008948350210054793,13
BDKR,Other,1056544988151.0,523928249757.0,532616738394.0,445227258579.0,0.0,43213231616.5,0.0,19069425308.0,0.9836871656283308,0.4958882542937404,0.08113382194258656,0.04090051261529814,0.09705881835362143,2.266100363201358,0.0,0.4958882542937404,0.0,0.04283076774962638,13
BEEF,Other,664158291310.5,737373460704.25,-73215169393.75,380309336149.75,0.0,-142178880917.0,0.0,35910386449.75,-10.071320831597992,1.1102375297450306,1.9419320080018432,-0.2140737874949303,-0.3738506194889096,-3.9592690297541977,0.0,1.1102375297450306,0.0,0.09442415170057772,13
BELI,Other,13569689250000.0,5822770000000.0,7746919250000.0,10785917250000.0,0.0,-3723124250000.0,0.0,175085500000.0,0.751623943931002,0.42910120436250965,-0.4805941729675316,-0.2743706345375595,-0.34518383218636317,-21.264606435141687,0.0,0.42910120436250965,0.0,0.01623278724857638,13
BEST,Other,6086741468322.5,1750027384331.5,4336714083991.0,389826335768.75,0.0,-28238539072.25,0.0,140390692563.25,0.40353764404061915,0.28751465680598487,-0.006511505837217329,-0.0046393524711396215,-0.07243876691030302,-0.20114252986912032,0.0,0.28751465680598487,0.0,0.3601365010047232,13
BFIN,Other,19189334750000.0,11116313500000.0,8073021250000.0,4875312250000.0,0.0,1320864000000.0,0.0,223414500000.0,1.3769706725347712,0.5792964500762592,0.16361458233495918,0.0688332356076075,0.2709291081817375,5.912167742022116,0.0,0.5792964500762592,0.0,0.045825680191048275,13
BHAT,Other,885373451605.5,348365173334.75,537008278270.75,96466299539.25,0.0,6797864330.0,0.0,8411956672.25,0.6487147171297618,0.3934669293539792,0.012658770088033238,0.007677962692096799,0.07046879959600916,0.8081192753197721,0.0,0.3934669293539792,0.0,0.08720098845325107,13
BHIT,Other,65938802000000.0,28738796000000.0,37200006000000.0,16687144750000.0,0.0,458846750000.0,0.0,1027861250000.0,0.7725481549653513,0.43584043276976736,0.012334588064313753,0.00695867586432644,0.027497019824197305,0.4464092308178755,0.0,0.43584043276976736,0.0,0.06159599292742996,13
BIPI,Other,1142421770.0,699970474.3333334,442451295.6666667,62606993.66666666,0.0,11609261.0,0.0,52600535.333333336,1.5820283072708194,0.6127075767589121,0.026238506054112463,0.010161974591923173,0.1854307373679112,0.22070613780694587,0.0,0.6127075767589121,0.0,0.8401702789528867,13
BIPP,Other,2003068719234.75,903934005899.75,1099134713335.0,353804153501.0,0.0,-381886139.0,0.0,60999404358.5,0.8224051109777335,0.45127458544961346,-0.0003474425239844161,-0.00019065054300578132,-0.0010793715540677524,-0.006260489639466222,0.0,0.45127458544961346,0.0,0.1724100855088678,13
BIRD,Other,7081158750000.0,1739851000000.0,5341307750000.0,3070018250000.0,0.0,164421250000.0,0.0,71335250000.0,0.32573502247647124,0.24570145387575162,0.03078295760059884,0.023219540163536088,0.05355709204660265,2.3049088634300707,0.0,0.24570145387575162,0.0,0.023236099655107912,13
BISI,Other,3339870500000.0,419026000000.0,2920844500000.0,2135405750000.0,0.0,443744000000.0,0.0,805750000.0,0.14346056423065315,0.12546175068763893,0.1519231852294773,0.13286263644054463,0.20780313062283362,550.7216878684387,0.0,0.12546175068763893,0.0,0.00037732875824653,13
