symbol,sector,sector_compliant,financial_compliant,shariah_compliant,debt_to_assets_ok,interest_income_ok,interest_bearing_debt_ok,profitability_ok,equity_ok,debt_to_assets_value,interest_income_value,interest_bearing_debt_value,roa_value,equity_ratio_value
GEMA,Other,1,1,1,True,True,True,True,True,0.3424660846586341,0.0007264577740048,0.9032949024610456,0.0066046472584639,0.3671780697586081
GEMS,Other,1,0,0,True,True,False,True,True,0.1590987852748634,0.0027271927364446,0.9867557521946804,0.401747999334762,0.462089532649708
GGRM,Tobacco,0,0,0,True,,False,True,True,0.1140455113085025,,1.0,0.0611660246637205,0.6774066521522525
GGRP,Other,1,1,1,True,True,True,True,True,0.1446924263214297,0.0013627675264314,0.6190886847122004,0.0330326401836362,0.702835165645304
GIAA,Other,1,0,0,False,True,True,True,False,0.7567396914377944,0.02468878075291,0.285723497363921,-0.0844854171773212,-0.3512934613833491
GJTL,Manufacturing,1,0,0,True,True,False,True,True,0.290255735345748,0.0034135790299044,0.9918104003537832,0.0188935272994812,0.4015202666337611
GMFI,Other,1,0,0,False,True,True,False,False,1.0389433201418676,0.0005257428337189,0.9088071043264362,-0.2457926639058596,-0.6791393293909583
GMTD,Other,1,0,0,True,True,,True,True,0.030954996403733,0.0067870407557052,,0.0010589845501605,0.5434259078299591
GOLL,Other,1,0,0,True,True,False,False,True,0.4938188865323262,4.716521372022071e-07,1.0,-0.6403428402071106,0.178917699778366
GOOD,Other,1,0,0,True,True,False,True,True,0.3135425894876914,0.0024214389162456,0.9564003471959028,0.0599397847649115,0.4707412267942212
GOTO,Other,1,0,0,True,True,True,False,True,0.0312473632772729,0.0491548429865518,0.7642650459244852,-0.4440331586615955,0.8407323728291021
GPRA,Real Estate,1,0,0,True,True,False,True,True,0.1312983590568561,0.0034734284240404,1.0,0.0341178032954354,0.6376435168213422
GSMF,Other,1,0,0,True,False,,True,True,0.078587138853247,0.1242498724057,,-0.0007631738125321,0.4292731682870677
GTSI,Other,1,1,1,True,True,True,True,True,0.3112063464063183,0.0314420265227004,0.6604842163938834,0.0171894632727881,0.4554534227549615
GWSA,Other,1,0,0,True,False,False,True,True,0.0574825680757165,0.1315002094423,1.0,0.0020723152569096,0.912815506820548
GZCO,Other,1,0,0,True,True,False,True,True,0.2354041281307053,0.0050252526612993,0.978854783938986,-0.0108247354087436,0.5300256514124461
HDTX,Other,1,0,0,True,True,False,False,True,0.3565261677861255,0.0011018366056248,1.7419519907299856,-0.1298127479997001,-0.1375872307241029
HEAL,Other,1,0,0,True,True,False,True,True,0.2385951425249962,0.0057526716002211,0.9971673076795408,0.0727688679351131,0.5862894674629008
HELI,Other,1,1,1,True,True,True,True,True,0.566658833635208,0.0072472394118172,0.5066075491084318,-0.0701061985726174,0.3590888869035475
HERO,Other,1,0,0,True,True,,True,True,0.5328397157544292,0.0004692078502087,,-0.0946323060764161,0.2138310391233225
HEXA,Other,1,0,0,True,True,,True,True,0.1078348358399836,0.0006513440370791,,0.1291733943803973,0.4879694408138359
HILL,Other,1,1,1,True,True,True,True,True,0.4380874914241002,0.0006890133964056,0.503052915890213,0.0942502315926161,0.2894807852809256
HITS,Other,1,1,1,True,True,True,True,True,0.279806969544609,0.0124398545390872,0.6411444101465557,0.003932848702676,0.3365155313125355
HMSP,Tobacco,0,0,0,True,True,,True,True,0.0074617233875119,0.0058624589651014,,0.1415857268049583,0.551858479581361
HOKI,Other,1,0,0,True,True,False,True,True,0.2428328404206008,3.1406495839944885e-05,0.951550024643672,0.0134593120998869,0.7118105868666146
HOTL,Other,1,0,0,True,True,False,True,True,0.5895984124667228,2.3934480705886648e-05,1.0,-0.0362345898012425,0.2468932211015091
HRME,Other,1,0,0,True,True,False,True,True,0.2348544009142405,0.0065762405646829,0.9918758154738038,-0.027507837920817,0.7092648593505654
HRTA,Other,1,0,0,True,True,False,True,True,0.5370177878484619,0.0003125649313306,0.997729774202922,0.0608713889040487,0.4325219417112718
HRUM,Other,1,0,0,True,True,False,True,True,0.0730964097869253,0.0114504559457903,0.9773709076093754,0.1367391790576314,0.7638397538806331
HUMI,Other,1,1,1,True,True,True,True,True,0.252862426633654,0.0150059259149921,0.5903166434351652,0.0125711343363407,0.5572891567320467
IATA,Other,1,0,0,True,True,False,True,True,0.2923617148308641,0.000441994872297,0.9791647933597252,0.0805261487275583,0.3581035181994641
IBOS,Other,1,1,1,True,True,True,True,True,0.0606849748091332,0.0022822097107854,0.8464920188502617,0.0203591978850977,0.8790577437501356
IBST,Construction,1,1,1,True,True,True,True,True,0.3147942937695211,0.0198769870024049,0.6865328840568301,0.0058547494797834,0.6354808377909498
ICBP,Other,1,0,0,True,True,False,True,True,0.3583553718912607,0.0058627953147402,0.995153138518251,0.0538482157010507,0.4928702469401695
IDPR,Other,1,0,0,True,True,False,True,True,0.3202756834690446,0.0001834690373568,0.9693906747601676,-0.0788725114747719,0.4342079741895283
IFII,Other,1,0,0,True,True,False,True,True,0.1887012648871463,0.0003134258536189,0.9882348833371772,0.0602564839516427,0.7569218657296969
IFSH,Other,1,1,1,True,True,True,True,True,0.0767383239285299,0.0035676902736886,0.922498397825383,0.1413497534533333,0.6284014074422732
IGAR,Other,1,0,0,True,True,,True,True,0.0019572397531683,0.0077779586299553,,0.0699766795077894,0.8941198711365638
IKAI,Other,1,0,0,True,True,False,True,True,0.2189165292066442,0.0288213675235769,0.9948259813688,-0.0314579978382971,0.6343213434073528
IKBI,Other,1,0,0,True,True,,True,True,0.1351267967818619,0.0001220491064966,,0.0052323611225618,0.627566382824773
